Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1100
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.0
Upper Discriminator:,772
Lower Discriminator:,256
Calibration Coefficients:Elapsed Real Time:,600.1
Elapsed Live Time:,600.0
Start Time:,February 20, 2020, 12:14:27
End Time:,February 20, 2020, 12:24:27
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,,0
93,,0
94,,0
95,,0
96,,0
97,,0
98,,0
99,,0
100,,0
101,,0
102,,0
103,,0
104,,0
105,,0
106,,0
107,,0
108,,0
109,,0
110,,0
111,,0
112,,0
113,,0
114,,0
115,,0
116,,0
117,,0
118,,0
119,,0
120,,0
121,,0
122,,0
123,,0
124,,0
125,,0
126,,0
127,,0
128,,0
129,,0
130,,0
131,,0
132,,0
133,,0
134,,0
135,,0
136,,0
137,,0
138,,0
139,,0
140,,0
141,,0
142,,0
143,,0
144,,0
145,,0
146,,0
147,,0
148,,0
149,,0
150,,0
151,,0
152,,0
153,,0
154,,0
155,,0
156,,0
157,,0
158,,0
159,,0
160,,0
161,,0
162,,0
163,,0
164,,0
165,,0
166,,0
167,,0
168,,0
169,,0
170,,0
171,,0
172,,0
173,,0
174,,0
175,,0
176,,0
177,,0
178,,0
179,,0
180,,0
181,,0
182,,0
183,,0
184,,0
185,,0
186,,0
187,,0
188,,0
189,,0
190,,0
191,,0
192,,0
193,,0
194,,0
195,,0
196,,0
197,,0
198,,0
199,,0
200,,0
201,,0
202,,0
203,,0
204,,0
205,,0
206,,0
207,,0
208,,0
209,,0
210,,0
211,,0
212,,0
213,,0
214,,0
215,,0
216,,0
217,,0
218,,0
219,,0
220,,0
221,,0
222,,0
223,,0
224,,0
225,,0
226,,0
227,,0
228,,0
229,,0
230,,0
231,,0
232,,0
233,,0
234,,0
235,,0
236,,0
237,,0
238,,0
239,,0
240,,0
241,,0
242,,0
243,,0
244,,0
245,,0
246,,0
247,,0
248,,0
249,,0
250,,0
251,,0
252,,0
253,,0
254,,11
255,,16
256,,12
257,,16
258,,28
259,,22
260,,16
261,,25
262,,17
263,,19
264,,20
265,,14
266,,14
267,,21
268,,14
269,,22
270,,23
271,,11
272,,19
273,,12
274,,14
275,,14
276,,14
277,,13
278,,20
279,,12
280,,17
281,,13
282,,9
283,,12
284,,10
285,,12
286,,10
287,,15
288,,14
289,,16
290,,17
291,,12
292,,20
293,,19
294,,10
295,,17
296,,15
297,,12
298,,9
299,,14
300,,20
301,,9
302,,17
303,,14
304,,14
305,,16
306,,17
307,,12
308,,14
309,,12
310,,11
311,,8
312,,15
313,,17
314,,13
315,,14
316,,17
317,,14
318,,16
319,,16
320,,17
321,,15
322,,10
323,,13
324,,11
325,,12
326,,15
327,,8
328,,13
329,,11
330,,15
331,,17
332,,8
333,,14
334,,10
335,,17
336,,8
337,,9
338,,19
339,,22
340,,25
341,,17
342,,11
343,,18
344,,13
345,,13
346,,18
347,,11
348,,17
349,,16
350,,10
351,,10
352,,14
353,,17
354,,17
355,,12
356,,12
357,,13
358,,16
359,,19
360,,14
361,,9
362,,11
363,,11
364,,15
365,,11
366,,23
367,,10
368,,18
369,,18
370,,14
371,,12
372,,11
373,,10
374,,15
375,,8
